id_programa,id_bips,periodo,nombre,ministerio,servicio,tipo_oferta,ano_inicio,ano_termino,descripcion,proposito,poblacion_objetivo,criterios_focalizacion,criterios_priorizacion,ejecutores,complementariedades,gasto_por_beneficiario,hallazgo_focalizacion,hallazgo_eficiencia,hallazgo_eficacia,url_ficha,url_informe,_error
183753,102,2025,Fondo Nacional del Adulto Mayor,Ministerio de Desarrollo Social y Familia,Servicio Nacional del Adulto Mayor,Programa Social,2003,Permanente,"El programa busca resolver el problema de las organizaciones que trabajan con personas mayores en los territorios entregan soluciones limitadas en materias de participación y apoyo social, a través de proyectos autogestionados, ejecutores intermedios y convenios institucionales.",Organizaciones que trabajan con personas mayores en los territorios desarrollan iniciativas en materias de participación y apoyo social.,Organizaciones públicas o privadas sin fines de lucro que trabajan la temática de personas mayores y que entreguen servicios a personas mayores o que estén conformadas por personas mayores.,"La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección.",Municipios del país que ejecutan proyectos del programa - Municipio,Cuidados Domiciliarios - Servicio Nacional del Adulto Mayor,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,Sin hallazgos en la dimensión de Eficiencia.,"Indicador de propósito 2: El resultado del indicador de propósito disminuyó (lectura ascendente), indicando un menor desempeño del programa en 2025 respecto de 2024.",https://bips.ministeriodesarrollosocial.gob.cl/programa/183753,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=UY1KZ2e%2FMYOIb%2B7nXRWY7Q%3D%3D,
184993,272,2025,Promoción de Talentos en Escuelas y Liceos,Ministerio de Educación,Subsecretaría de Educación,Programa Social,2007,Permanente,"El programa busca resolver el problema que afecta a los estudiantes con talento académico, que no siempre encuentran en la educación regular las oportunidades que requieren para potenciar el desarrollo de sus capacidades, enfrentan situaciones escolares poco desafiantes y pierden la motivación por el aprendizaje y por el descubrimiento de nuevas oportunidades de desarrollo, mediante la entrega de becas destinadas a alumnos de quinto básico a cuarto medio, de establecimientos municipales, que tengan excelencia académica.","Estudiantes de establecimientos municipales y Servicios Locales de Educación con alto Índice de Vulnerabilidad Escolar y bajos resultados SIMCE, que cursan entre 5° básico y 4° medio potencian sus altas capacidades académicas.","Estudiantes de Establecimientos Educacionales de dependencia Municipal y Servicios Locales de Educación (SLE) con un Índice de Vulnerabilidad Escolar (IVE) igual o mayor al 90% y resultados SIMCE con niveles de aprendizaje """"insuficiente"""" o """"elemental"""", que cursen entre 5° básico y 4° medio.","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección.",UFRO - Universidad o Centro de Formación público,Educación Especial Diferencial - Subsecretaría de Educación,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,Ejecución presupuestaria: El programa presenta una sobre ejecución presupuestaria (superior al 110%) respecto de su presupuesto inicial en 2025.,"Indicador de propósito 1: El resultado del indicador de propósito disminuyó (lectura ascendente), indicando un menor desempeño del programa en 2025 respecto de 2024.",https://bips.ministeriodesarrollosocial.gob.cl/programa/184993,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=ElqdQWiS4gug6EUx%2BtSWMw%3D%3D,
183312,277,2025,Centro de Lectura y Biblioteca Escolar (CRA),Ministerio de Educación,Subsecretaría de Educación,Programa Social,1994,Permanente,El programa busca resolver el acceso limitado a recursos educativos para la lectura que presentan los estudiantes de establecimentos educaconales que reciben subvención del Estado mediante  la entrega de colecciones de libros que facilitan el acceso a la lectura y la formación de equipos de bibliotecas.,Los estudiantes de establecimientos educacionales que reciben subvención del Estado cuentan con un amplio acceso a recursos educativos para la lectura.,"Estudiantes de los establecimientos educacionales cuyos directores suscriben  anualmente al Acta de Compromiso o documentos afines que les envía el programa para participar de las colecciones de libros en formato impreso. Esta acta se pone a disposición en un sistema informático denominado Sistema de Gestión de Bibliotecas (SGB), para que los directores participen del proceso estos reciben comunicación vía correo electrónico, en la página del programa y además tienen asistencia telefónica.","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 no presenta criterios de priorización claros y objetivos para su selección. En los criterios de prelación se menciona un criterio de priorización que se materializa en el Acta de Compromiso Complementaria, cuyo objetivo es focalizar los recursos en establecimientos educacionales que requieren mayor apoyo debido a condiciones de ruralidad y/o características excepcionales de infraestructura. Sin embargo, este criterio debiera explicitarse de manera más clara dentro del proceso de priorización, de modo de transparentar cómo se identifican y seleccionan objetivamente los establecimientos que cumplen con dichas condiciones.","El programa es implementado directamente por la entidad responsable, sin la ejecución de terceros.",El programa no reporta complementariedades con otros programas de la oferta pública vigente al 2025.,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).","Criterios de priorización: La población beneficiada del programa en 2025 no presenta criterios de priorización claros y objetivos para su selección. En los criterios de prelación se menciona un criterio de priorización que se materializa en el Acta de Compromiso Complementaria, cuyo objetivo es focalizar los recursos en establecimientos educacionales que requieren mayor apoyo debido a condiciones de ruralidad y/o características excepcionales de infraestructura. Sin embargo, este criterio debiera explicitarse de manera más clara dentro del proceso de priorización, de modo de transparentar cómo se identifican y seleccionan objetivamente los establecimientos que cumplen con dichas condiciones.","Gasto Administrativo: El gasto administrativo no se encuentra correctamente descrito, debido a que incluye gastos distintos a los servicios de apoyo y/o no es coherente con la desagregación por subtítulos. El gasto administrativo no describe adecuadamente los gastos en servicios de apoyo incurridos por el programa. Si bien se describe la contratación de profesionales, no se detalla las labores que estos realizan, de manera de poder identificar que efectivamente corresponde a gastos administrativos del programa.",Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/183312,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=rqpzIPjnJUBY3V5tnKGybA%3D%3D,
182942,468,2025,Hogares y Residencias Estudiantiles,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,1991,Permanente,"El programa aborda el problema de estudiantes desde séptimo básico a cuarto medio, matriculados en establecimientos educacionales con financiamiento público e instituciones de educación superior reconocidas por el Estado, de territorios aislados, que presentan condiciones de vida inadecuadas para continuar estudios. Lo hace a través de 3 componentes: Residencia Familiar Estudiantil (RFE), Hogares Estudiantiles (HINS/HJ) y Subsidio para Arriendo.","Estudiantes desde séptimo básico a cuarto medio, matriculados en establecimientos educacionales con financiamiento público e instituciones de educación superior reconocidas por el Estado, de territorios aislados, cuentan con condiciones de vida adecuadas para continuar estudios.","Estudiantes desde séptimo básico a cuarto medio matriculados en establecimientos educacionales con financiamiento público e instituciones de educación superior reconocidas por el Estado, de territorios aislados, que cumplen los siguientes requisitos:","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección. El programa debe informar el dato de los estudiantes que renuevan el beneficio y los que inician el beneficio en el 2025. De igual forma, debe informar los egresados en el año t y los que lo harán en años próximos.","Convenio con 7 Delegaciones Presidenciales : Delegación Presidencial provincia Aysén, Delegación Presidencial provincia General Carrera, Delegación Presidencial provincial de Capitán Prat, Delegación Presidencial provincial Tierra del Fuego, Delegación Presidencial provincial Última Esperanza Delegación Presidencial regional y  Delegación Presidencial regional de Los Lagos - Gobernación provincial",Beca Integración Territorial (Programa Especial Beca Art. 56 Ley Nº 18.681) - Junta Nacional de Auxilio Escolar y Becas,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,"Ejecución presupuestaria: El programa presenta una subejecución presupuestaria (inferior al 85%) respecto de su presupuesto inicial en 2025. En la Observación de la Institución N°5, el programa atribuye la subejecución respecto al presupuesto inicial a dos reducciones presupuestarias ocurridas en noviembre y diciembre, sin aportar mayores antecedentes al respecto. Esta justificación es insuficiente.",Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/182942,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=gvMAQpT%2FUVe1z%2BHEKRFvQQ%3D%3D,
182936,497,2025,Beca Presidente de la República,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,1981,Permanente,"El programa aborda el problema de estudiantes socioeconómicamente vulnerables de alto rendimiento escolar al inicio de la educación media, que presentan mayor riesgo para mantener su alto rendimiento durante la educación media y/o superior, afectando el desarrollo de su potencial educativo, a través de la Beca Presidente de la República, Educación Media y la Beca Presidente de la República, Educación Superior.","Estudiantes socioeconómicamente vulnerables de alto rendimiento escolar al inicio de la educación media mantienen un alto rendimiento durante la educ media y/o educ superior(La beca no tiene incorporado dentro de su norma, restricciones asociadas al tipo de establecimiento público – privado)",Estudiantes egresados de octavo básico a cuarto medio en situación de vulnerabilidad socioeconómica pertenecientes al tramo hasta el 40% de la Calificación Socioeconómica (CSE) del Registro Social de Hogares.,"La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección. El programa debe informar el dato de los estudiantes que renuevan el beneficio y los que inician el beneficio en el 2025. De igual forma, debe informar los egresados en el año t y los que lo harán en años próximos.","El programa es implementado directamente por la entidad responsable, sin la ejecución de terceros.",Hogares y Residencias Estudiantiles - Junta Nacional de Auxilio Escolar y Becas,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,Sin hallazgos en la dimensión de Eficiencia.,Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/182936,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=RLUdwjw780fdJIX94hf1CA%3D%3D,
182935,505,2025,Beca Integración Territorial (Programa Especial Beca Art. 56 Ley Nº 18.681),Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,1988,Permanente,"El programa aborda el problema de estudiantes de comunas con localidades aisladas matriculados en establecimientos educacionales con financiamiento público de enseñanza media e instituciones de educación superior reconocidos por el Estado que interrumpen sus trayectorias educativas, a través de transferencias monetarias para mantención y traslado.","Estudiantes de comunas con localidades aisladas, matriculados en establecimientos educacionales con financiamiento público de enseñanza media e instituciones de educación superior reconocidos por el Estado, continúan sus trayectorias educativas.","Estudiantes de comunas con localidades aisladas matriculados en establecimientos educacionales con financiamiento público de enseñanza media e instituciones de educación superior reconocidos por el Estado, que cumplen con los siguientes requisitos:","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección. El programa debe informar el dato de los estudiantes que renuevan el beneficio y los que inician el beneficio en el 2025. De igual forma, debe informar los egresados en el año t y los que lo harán en años próximos.","El programa es implementado directamente por la entidad responsable, sin la ejecución de terceros.",Hogares y Residencias Estudiantiles - Junta Nacional de Auxilio Escolar y Becas,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,Sin hallazgos en la dimensión de Eficiencia.,Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/182935,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=mPxUR%2BFeyO%2B%2F5lBHVEHfEA%3D%3D,
182940,509,2025,Beca Indígena,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,1991,Permanente,"El programa aborda el problema de estudiantes indígenas de educación escolar y educación superior, en situación de vulnerabilidad socioeconómica, ven afectada su trayectoria educativa, a través de la Beca de Mantención para la Educación Superior.","Estudiantes indígenas de educación escolar y educación superior, en situación de vulnerabilidad socioeconómica, cumplen su trayectoria educativa","Estudiantes indígenas (certificado CONADI) en educación escolar y superior, en situación de vulnerabilidad socioeconómica que cumplen los requisitos de :","La población objetivo del programa no corresponde a un subconjunto de la población potencial. La población potencial se define como estudiantes indígenas en situación de vulnerabilidad socioeconómica, estableciendo como referencia la pertenencia al decil del 70% según la CASEN. Sin embargo, la descripción de la población objetivo señala que los estudiantes renovantes y postulantes en educación superior que se benefician del componente Hogares Indígenas (HIND) solo deben encontrarse inscritos en el Registro Social de Hogares (RSH), sin que se exija ningún tramo ni condición de vulnerabilidad socioeconómica específica. Esta inconsistencia implica que la población objetivo no es un subconjunto de la población potencial, ya que admite a estudiantes que podrían no cumplir con el criterio de vulnerabilidad definido en esta última.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección. El programa debe informar el dato de los estudiantes que renuevan el beneficio y los que inician el beneficio en el 2025. De igual forma, debe informar los egresados en el año t y los que lo harán en años próximos.","El programa es implementado directamente por la entidad responsable, sin la ejecución de terceros.",Programa de Alimentación Escolar - Junta Nacional de Auxilio Escolar y Becas,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).","Criterios de focalización: La población objetivo del programa no corresponde a un subconjunto de la población potencial. La población potencial se define como estudiantes indígenas en situación de vulnerabilidad socioeconómica, estableciendo como referencia la pertenencia al decil del 70% según la CASEN. Sin embargo, la descripción de la población objetivo señala que los estudiantes renovantes y postulantes en educación superior que se benefician del componente Hogares Indígenas (HIND) solo deben encontrarse inscritos en el Registro Social de Hogares (RSH), sin que se exija ningún tramo ni condición de vulnerabilidad socioeconómica específica. Esta inconsistencia implica que la población objetivo no es un subconjunto de la población potencial, ya que admite a estudiantes que podrían no cumplir con el criterio de vulnerabilidad definido en esta última.",Sin hallazgos en la dimensión de Eficiencia.,Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/182940,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=TiShmBZAk4M13%2FR2cu8EGw%3D%3D,
182941,513,2025,Beca de Apoyo a la Retención Escolar (Programa de Educación Media),Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,2000,Permanente,"El programa aborda el problema de estudiantes de enseñanza media en situación de vulnerabilidad socioeconómica, matriculados en establecimientos subvencionados por el Estado, desertan del sistema escolar, a través de la entrega de recursos para la mantención.","Estudiantes de enseñanza media en situación de vulnerabilidad socioeconómica, matriculados en establecimientos subvencionados por el Estado, permanecen en el sistema escolar.","Estudiantes de enseñanza media en situación de vulnerabilidad socioeconómica, matriculados en establecimientos subvencionados por el Estado que concentren al menos un 70% de estudiantes con IVM Muy Alto.","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección. El programa debe informar el dato de los estudiantes que renuevan el beneficio que, según lo informado en la descripción de población beneficiaria, serían todos los beneficiarios.","El programa es implementado directamente por la entidad responsable, sin la ejecución de terceros.",Plan Nacional de Tutorías - Subsecretaría de Educación,"El programa presenta un gasto por beneficiario fuera del rango esperado (variación mayor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,"Ejecución presupuestaria: El programa presenta una subejecución presupuestaria (inferior al 85%) respecto de su presupuesto inicial en 2025. El programa presenta una subejecución presupuestaria (inferior al 90%) respecto de su presupuesto final en 2025. El programa presenta persistencia de subejecución presupuestaria inicial en 2025, ya que ha ejecutado menos del 85% de su presupuesto inicial anual durante tres años consecutivos. Gasto por beneficiario: El programa presenta un gasto por beneficiario fuera del rango esperado (variación mayor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024). Gasto Administrativo: El gasto administrativo se encuentra correctamente estimado, considerando exclusivamente servicios de apoyo al programa. Sin embargo, es superior al 20% respecto al presupuesto total ejecutado.",Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/182941,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=JFZAVnFqTtP6wpt3TNNR0A%3D%3D,
183128,548,2025,Habilidades para la Vida III,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,2009,Permanente,"El programa aborda el problema de estudiantes de enseñanza media matriculados en establecimientos subvencionados por el Estado presentan riesgo psicosocial, a través de una Intervención Psicosocioeducativa Universal y una Intervención Psicosocioeducativa Especializada.",Estudiantes de enseñanza media matriculados en establecimientos subvencionados por el Estado disminuyen riesgo psicosocial.,"Estudiantes de enseñanza media matriculados en establecimientos subvencionados por el Estado, pertenecientes al 70% de Establecimientos Educacionales más vulnerables de acuerdo con el Índice de Vulnerabilidad Multidimensional (IVM) promedio del establecimiento.","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección. Dado que el modelo de intervención del programa contempla procesos que abarcan más de un año, se debe reportar el dato de estudiantes cuyo ingreso al programa fue previo al 2025 (arrastre). De igual forma, se debe informar estudiantes que egresan en el año t y los que lo harán en años próximos.","Convenio con 34 Municipalidades de las comunas de: Tocopilla,San Antonio,Curicó,Quinta Normal,Alto Hospicio,Cabildo,Chillán,Chillán Viejo,Coquimbo,Hualpén,La Calera,La Unión,Lota,Molina,Nueva Imperial,Peñaflor,Puerto Montt,Quilicura,Quillón,Retiro,San Carlos, San Nicolás, Talca, Talcahuano, Traiguén, Victoria, Villarrica, Yerbas Buenas,Ovalle,Angol,Pitrufquén,Recoleta,Saavedra - Municipio",Habilidades para la Vida II - Junta Nacional de Auxilio Escolar y Becas,"El programa presenta un gasto por beneficiario dentro del rango esperado (menor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024).",Sin hallazgos en la dimensión de Focalización.,Sin hallazgos en la dimensión de Eficiencia.,Sin hallazgos en la dimensión de Eficacia.,https://bips.ministeriodesarrollosocial.gob.cl/programa/183128,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=%2BomX21QyIqeT86Rr3bbauw%3D%3D,
182943,554,2025,Escuelas Saludables para el Aprendizaje,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Programa Social,1997,Permanente,"El programa aborda el problema de Estudiantes matriculados en establecimientos públicos y subvencionados por el Estado, presentan bajo acceso a espacios de promoción de hábitos de vida activa y saludable, a través de Escuelas Saludables, Campamentos Recreativos (CRE), Escuelas Abiertas y Actividades Promocionales de Vida Saludable.","Estudiantes matriculados en establecimientos públicos y subvencionados por el Estado, aumentan su acceso a espacios de promoción de hábitos de vida activa y saludable.","Estudiantes de la educación escolar con financiamiento público de establecimientos vulnerables, con IVE igual o superior al 50% y con una prevalencia de obesidad total igual o superior al 25% según Mapa Nutricional de Junaeb vigente.","La población objetivo del programa corresponde a un subconjunto de la población potencial, y los criterios de focalización permiten definir la población a atender en el mediano plazo.","La población beneficiada del programa en 2025 corresponde a un subconjunto de la población objetivo, y los criterios de priorización son claros y objetivos para su selección.",Con 2 Organización no Gubernamental : ONG de Desarrollo Corporación de Promoción Comunitaria Galerna y ONG de Desarrollo Chile PRO - Organismo privado con fines de lucro (Bancos/OCAS/OTEC/PSAT/EP/otros),Programa de Alimentación Escolar - Junta Nacional de Auxilio Escolar y Becas,"El programa presenta un gasto por beneficiario fuera del rango esperado (variación mayor al 20%) durante 2025, en relación con el promedio de los dos años anteriores (2023 y 2024). No obstante, la justificación proporcionada por el Servicio se considera pertinente. El aumento de gasto por beneficiario es justificado a partir de lo que informa el programa en la Observación de la Institución n°3: El año 2025, a través del componente de Escuelas Abiertas, el programa atendió a niños y niñas afectados por incendios y otros desastres naturales sin registrar a los participantes en nóminas rutificadas, por lo que no son contabilizados como beneficiarios formales del programa. Esto produce una sobreestimación en los valores reportados.",Sin hallazgos en la dimensión de Focalización.,Sin hallazgos en la dimensión de Eficiencia.,"Indicador de propósito 1: El indicador de propósito del programa no se encuentra correctamente formulado. La fórmula corresponde a una tasa de variación, por lo que el numerador debiera expresar la diferencia entre la población beneficiada en el año t y la del año t-1. Sin embargo, la cifra ingresada en el numerador corresponde únicamente a la población beneficiada en el año t, lo que produce un resultado incorrecto.",https://bips.ministeriodesarrollosocial.gob.cl/programa/182943,https://evaluacionymonitoreosesdipres.gob.cl/Reportes/EvaluacionMonitoreo2026?_id=p0Qtt9mjTlG%2FGXZ3sza7oQ%3D%3D,
